Input1,Input2,Input3,Output
69119,622,19,1995.03
73930,654,22,1996.03
77814,711,23,1997.03
80862,950,23,1998.03
82881,739,21,1999.03
88815,565,37,2000.03
94730,531,47,2001.03
101808,553,38,2002.03
105675,730,39,2003.03
112617,1248,24,2004.03
120512,1552,27,2005.03
125743,1170,27,2006.03
131865,1415,28,2007.03
143250,1282,27,2008.03
143874,1384,28,2009.03
146953,1424,143,2010.03
152702,1829,163,2011.03
159257,1941,168,2012.03
162052,2726,167,2013.03
175071,2484,164,2014.03
182000,2279,154,2015.03
191693,3552,117,2016.03
204410,3272,107,2017.03
220009,3229,96,2018.03
1240,3675,50,1972.03
1401,3397,54,1973.03
1621,3117,56,1974.03
1815,3097,49,1975.03
2129,3324,49,1976.03
2645,3212,53,1977.03
3162,3109,52,1978.03
3847,56,54,1979.03
4568,70,57,1980.03
5497,69,60,1981.03
6521,76,69,1982.03
7351,79,72,1983.03
7934,89,81,1984.03
8437,108,89,1985.03
10017,97,99,1986.03
