Input,Output
1979.06,53.99162181
1980.06,55.22119663
1981.06,34.20453603
1982.06,8.436190907
1983.06,9.89987003
1984.06,8.710367112
1985.06,178.794521
1986.06,401.7356291
1987.06,439.0130477
1988.06,690.5064439
1989.06,795.9250854
1990.06,1782.066822
1991.06,1672.826683
1992.06,1504.290439
1993.06,1310.881669
1994.06,1537.520136
1995.06,1093.794252
1996.06,1130.207632
1997.06,1720.183975
1998.06,1637.887685
1999.06,1721.381197
2000.06,1434.524194
2001.06,1306.338411
2002.06,1370.71884
2003.06,1202.575573
2004.06,831.9168324
2005.06,779.0861497
2006.06,795.9643339
2007.06,725.2743809
2008.06,2863.495885
2009.06,2575.539146
2010.06,3022.571091
2011.06,2465.723042
2012.06,2313.11767
2013.06,2069.880575
2014.06,1623.010193
2015.06,1694.316931
2016.06,1448.438007
2017.06,1484.561088
2018.06,1073.310844
2019.06,777.724795
1971.06,80.48213755
1972.06,91.42860003
1973.06,98.35095563
1974.06,69.53567508
1975.06,87.08122695
1976.06,84.49509732
1977.06,91.33942315
1978.06,85.55407282
1979.06,86.67993097
1980.06,88.05102556
1981.06,64.70897625
1982.06,44.58844186
1983.06,52.60321428
1984.06,67.22822321
1985.06,220.7796699
1986.06,381.6547681
1987.06,390.8511342
1988.06,561.7586319
1989.06,659.5410848
1990.06,1303.934763
1991.06,1251.830136
1992.06,1217.863196
1993.06,1090.074951
1994.06,1300.801889
1995.06,1021.811295
1996.06,1129.483197
1997.06,1490.752932
1998.06,1461.758016
1999.06,1529.876016
2000.06,1221
2001.06,1177
2002.06,1237
2003.06,1103
2004.06,848
2005.06,829
2006.06,869
2007.06,790
2008.06,2408
2009.06,2127
2010.06,2422
2011.06,2074
2012.06,1981
2013.06,1760
2014.06,1477
2015.06,1473
2016.06,1194
2017.06,1283
2018.06,1236.25
2019.06,
1982.06,252.0765476
1983.06,253.3999495
1984.06,345.2188319
1985.06,423.8667148
1986.06,427.5218247
1987.06,465.2702877
1988.06,405.1500311
1989.06,295.9378669
1990.06,341.5122984
1991.06,404.2511261
1992.06,456.3361907
1993.06,460.9972121
1994.06,546.5972401
1995.06,615.4027942
1996.06,682.3587365
1997.06,768.9205626
1998.06,755.0663584
1999.06,873.3939907
2000.06,922.7761975
2001.06,893.9977173
2002.06,934.2865767
2003.06,968.5195851
2004.06,860.7295929
2005.06,747.7564154
2006.06,642.413098
2007.06,733.0199678
2008.06,693.6631939
2009.06,739.7950739
2010.06,733.7127085
2011.06,746.8528692
2012.06,751.6624512
2013.06,892.6691222
2014.06,964.1304639
2015.06,1054.480854
2016.06,1112.440435
2017.06,1141.255907
2018.06,1111.896242
2019.06,1061.413618
1971.06,1477.268962
1972.06,1530.398811
1973.06,1470.46575
1974.06,1294.230154
1975.06,1400.489852
1976.06,1381.376065
1977.06,1393.362677
1978.06,1405.025327
1979.06,1397.898152
1980.06,1126.093621
1981.06,1319.823191
1982.06,1295.849967
1983.06,1283.21543
1984.06,1243.692006
1985.06,1383.967765
1986.06,1189.914232
1987.06,1532.342586
1988.06,1190.562157
1989.06,1625.643783
1990.06,1168.490593
1991.06,1296.561065
1992.06,1090.835163
1993.06,1052.210735
1994.06,1024.157203
1995.06,966.0172748
1996.06,1144.096217
1997.06,954.22666
1998.06,861.8189328
1999.06,879.4441244
2000.06,951.19063
2001.06,833.102431
2002.06,819.6076543
2003.06,748.5568168
2004.06,854.6410753
2005.06,853.4095254
2006.06,857.1897786
2007.06,1193.5
2008.06,1031.75
2009.06,822.5
2010.06,868.75
2011.06,819.75
2012.06,804
2013.06,962.25
2014.06,863
2015.06,975.25
2016.06,1075
2017.06,898
2018.06,832.75
2019.06,
1982.06,488.1764526
1983.06,608.6339922
1984.06,529.5494069
1985.06,541.3876859
1986.06,503.5540108
1987.06,584.3472137
1988.06,443.2642189
1989.06,511.8530105
1990.06,421.7119608
1991.06,479.7069572
1992.06,549.6082112
1993.06,537.3178808
1994.06,586.7352509
1995.06,518.3702882
1996.06,675.0720004
1997.06,637.0487908
1998.06,642.7741606
1999.06,641.6592413
2000.06,693.8325884
2001.06,699.9234682
2002.06,712.1940956
2003.06,673.9223561
2004.06,695.1101227
2005.06,633.3547898
2006.06,575.693672
2007.06,588.9496426
2008.06,576.4669698
2009.06,670.5630953
2010.06,722.2300436
2011.06,585.7659345
2012.06,388.4820705
2013.06,389.0638345
2014.06,407.8132743
2015.06,436.9362836
2016.06,456.8383727
2017.06,386.9607413
2018.06,388.5927072
2019.06,441.0515465
1971.06,95.6405684
1972.06,112.4345968
1973.06,130.8145019
